inst#,actual,predicted,error,prediction,pageid
1,1:yes,1:yes,,0.745,726651
2,1:yes,2:no,+,0.639,65719
3,2:no,2:no,,0.734,71508
4,2:no,2:no,,0.603,1981069
5,2:no,2:no,,0.856,3726984
6,1:yes,2:no,+,0.791,31429
7,1:yes,1:yes,,0.777,22954
8,1:yes,1:yes,,0.666,1030
9,1:yes,1:yes,,0.934,16772
10,1:yes,2:no,+,0.625,87944
11,2:no,2:no,,0.641,2198844
12,1:yes,1:yes,,0.642,21265
13,1:yes,1:yes,,0.894,1092923
14,2:no,1:yes,+,0.728,579570
15,2:no,2:no,,0.613,47762
16,2:no,1:yes,+,0.748,45968
17,2:no,2:no,,0.915,46241959
18,2:no,1:yes,+,0.613,29711529
19,1:yes,2:no,+,0.565,31175
20,2:no,2:no,,0.552,43717
21,1:yes,1:yes,,0.659,12686162
22,2:no,2:no,,0.93,4121869
23,2:no,2:no,,0.828,19555532
24,2:no,1:yes,+,0.709,32073
25,2:no,2:no,,0.627,35337618
26,2:no,2:no,,0.885,32291112
27,2:no,2:no,,0.792,391488
28,1:yes,1:yes,,0.767,335069
29,2:no,2:no,,0.616,26902061
30,1:yes,1:yes,,0.807,11408
31,1:yes,2:no,+,0.569,30658
32,1:yes,1:yes,,0.767,501787
33,1:yes,1:yes,,0.711,19767582
34,2:no,2:no,,0.709,4272994
35,2:no,2:no,,0.861,566647
36,1:yes,1:yes,,0.7,336056
37,2:no,2:no,,0.672,1989580
38,1:yes,1:yes,,0.841,216102
39,2:no,2:no,,0.792,87679
40,1:yes,1:yes,,0.874,29922
41,2:no,1:yes,+,0.565,21197
42,2:no,2:no,,0.545,27586261
43,2:no,2:no,,0.554,23219544
44,1:yes,1:yes,,0.611,18522
45,2:no,2:no,,0.604,69802
46,2:no,1:yes,+,0.711,39912374
47,2:no,2:no,,0.625,324222
48,1:yes,2:no,+,0.766,15147453
49,1:yes,1:yes,,0.509,23278125
50,1:yes,1:yes,,0.76,1457022
51,1:yes,1:yes,,0.66,31769
52,1:yes,1:yes,,0.877,34399
53,2:no,2:no,,0.836,35397147
54,2:no,2:no,,0.92,682848
55,1:yes,1:yes,,0.69,30942
56,1:yes,2:no,+,0.689,132472
57,1:yes,1:yes,,0.603,5919
58,1:yes,1:yes,,0.769,4097799
59,1:yes,1:yes,,0.681,28307
60,1:yes,1:yes,,0.623,27471338
61,2:no,2:no,,0.953,43158925
62,1:yes,1:yes,,0.531,70197
63,2:no,2:no,,0.926,178855
64,1:yes,1:yes,,0.743,59564
65,2:no,1:yes,+,0.554,62682
66,1:yes,1:yes,,0.84,294295
67,1:yes,1:yes,,0.63,33178
68,1:yes,1:yes,,0.911,2965
69,2:no,2:no,,0.601,21550326
70,2:no,1:yes,+,0.708,192648
71,1:yes,2:no,+,0.954,1434711
72,2:no,2:no,,0.698,9623056
73,2:no,2:no,,0.955,2055543
74,1:yes,1:yes,,0.601,30780454
75,2:no,2:no,,0.635,2046288
76,1:yes,1:yes,,0.647,9910441
77,1:yes,2:no,+,0.614,51584
78,2:no,2:no,,0.985,2706504
79,2:no,2:no,,0.899,23387941
80,2:no,2:no,,0.897,22715390
81,2:no,2:no,,0.998,32434421
82,2:no,2:no,,0.596,3029
83,2:no,2:no,,0.598,6204551
84,1:yes,2:no,+,0.667,4809279
85,2:no,2:no,,0.772,6920
86,2:no,2:no,,0.843,1749936
87,1:yes,2:no,+,0.662,191704
88,1:yes,1:yes,,0.718,4764461
89,1:yes,2:no,+,0.729,3020357
90,2:no,2:no,,0.78,40484303
91,2:no,1:yes,+,0.579,20739
92,1:yes,1:yes,,0.771,133250
93,1:yes,1:yes,,0.718,432972
94,2:no,1:yes,+,0.603,565730
95,2:no,2:no,,0.921,24602
