inst#,actual,predicted,error,prediction,pageid
1,1:yes,2:no,+,0.59,526399
2,1:yes,2:no,+,0.685,15394859
3,1:yes,1:yes,,0.756,1398166
4,2:no,1:yes,+,0.505,20905
5,2:no,2:no,,0.902,9623
6,2:no,2:no,,0.654,275138
7,2:no,2:no,,0.958,10728305
8,1:yes,1:yes,,0.779,46827
9,1:yes,1:yes,,0.821,167166
10,1:yes,1:yes,,0.557,146978
11,1:yes,1:yes,,0.554,5030
12,2:no,2:no,,0.844,46272899
13,2:no,2:no,,0.868,16692
14,1:yes,1:yes,,0.716,39626432
15,2:no,2:no,,0.573,217231
16,1:yes,1:yes,,0.751,14094
17,1:yes,1:yes,,0.677,9311172
18,2:no,2:no,,0.761,19194236
19,2:no,2:no,,0.833,7003520
20,1:yes,1:yes,,0.815,879858
21,1:yes,2:no,+,0.563,8798949
22,2:no,1:yes,+,0.848,16125
23,1:yes,1:yes,,0.807,335195
24,2:no,2:no,,0.941,32227599
25,2:no,1:yes,+,0.551,20622
26,2:no,1:yes,+,0.552,36511
27,1:yes,1:yes,,0.902,301237
28,1:yes,1:yes,,0.69,21073732
29,2:no,2:no,,0.889,290007
30,2:no,2:no,,0.865,186716
31,2:no,2:no,,0.83,94040
32,1:yes,1:yes,,0.711,11217925
33,1:yes,1:yes,,0.743,1007688
34,2:no,2:no,,0.909,409566
35,1:yes,1:yes,,0.507,20764470
36,2:no,2:no,,0.672,49040304
37,2:no,2:no,,0.96,238811
38,2:no,2:no,,0.762,51358865
39,1:yes,1:yes,,0.551,63578
40,2:no,2:no,,0.966,1557634
41,1:yes,1:yes,,0.785,147301
42,2:no,1:yes,+,0.639,34340
43,1:yes,1:yes,,0.901,32817
44,2:no,2:no,,0.988,2989409
45,2:no,2:no,,0.777,32642
46,2:no,2:no,,0.824,8455187
47,2:no,2:no,,0.603,115635
48,2:no,2:no,,0.578,7026804
49,1:yes,1:yes,,0.685,46884
50,1:yes,1:yes,,0.694,639800
51,2:no,2:no,,0.944,1465328
52,1:yes,1:yes,,0.76,18603579
53,2:no,2:no,,0.728,3072809
54,1:yes,1:yes,,0.728,4545
55,1:yes,1:yes,,0.845,26743
56,1:yes,1:yes,,0.73,32070
57,1:yes,2:no,+,0.516,2579018
58,2:no,2:no,,0.757,14129491
59,2:no,2:no,,0.652,489321
60,2:no,1:yes,+,0.586,9286738
61,1:yes,1:yes,,0.824,13547
62,2:no,2:no,,0.708,30857
63,1:yes,1:yes,,0.938,19527
64,1:yes,1:yes,,0.515,1023
65,2:no,1:yes,+,0.544,573279
66,1:yes,2:no,+,0.537,154823
67,1:yes,1:yes,,0.605,44276
68,2:no,1:yes,+,0.507,1029
69,1:yes,1:yes,,0.782,235888
70,1:yes,2:no,+,0.552,18723138
71,2:no,1:yes,+,0.604,40565
72,1:yes,1:yes,,0.754,606848
73,2:no,2:no,,0.959,6717473
74,1:yes,1:yes,,0.63,24856
75,2:no,2:no,,0.846,16945120
76,1:yes,1:yes,,0.631,59749
77,2:no,2:no,,0.741,28086000
78,2:no,2:no,,0.512,2985470
79,1:yes,2:no,+,0.656,11065091
80,2:no,2:no,,0.975,7517565
81,1:yes,1:yes,,0.66,77880
82,1:yes,1:yes,,0.944,14912
83,2:no,1:yes,+,0.787,158079
84,1:yes,1:yes,,0.623,175552
85,2:no,2:no,,0.906,7081361
86,2:no,2:no,,0.549,149536
87,2:no,2:no,,0.839,56017314
88,2:no,2:no,,0.54,872
89,1:yes,1:yes,,0.569,1151958
90,2:no,2:no,,0.674,1620297
91,1:yes,1:yes,,0.637,1641893
92,2:no,2:no,,0.901,16307988
93,2:no,2:no,,0.515,2313472
94,2:no,2:no,,0.839,32070455
95,1:yes,1:yes,,0.679,75890
96,2:no,2:no,,0.861,34001262
97,1:yes,2:no,+,0.681,1737582
98,1:yes,2:no,+,0.564,1281795
99,1:yes,1:yes,,0.92,8389
100,2:no,2:no,,0.82,2217991
101,1:yes,1:yes,,0.69,1673370
102,1:yes,2:no,+,0.521,26909
103,1:yes,1:yes,,0.834,13058
104,2:no,2:no,,0.968,13893101
105,2:no,1:yes,+,0.549,7729
106,2:no,2:no,,0.729,25645497
107,2:no,2:no,,0.775,22434448
108,1:yes,2:no,+,0.623,4124046
109,1:yes,1:yes,,0.86,162173
110,1:yes,1:yes,,0.779,26152
111,1:yes,1:yes,,0.676,85406
112,1:yes,1:yes,,0.557,21704
113,2:no,2:no,,0.609,2615708
114,1:yes,2:no,+,0.641,572897
115,2:no,2:no,,0.924,22999784
116,1:yes,1:yes,,0.879,5042481
117,1:yes,2:no,+,0.682,5491859
118,2:no,2:no,,0.791,15300612
