inst#,actual,predicted,error,prediction,pageid
1,1:yes,1:yes,,0.875,201936
2,2:no,2:no,,0.74,3130242
3,1:yes,2:no,+,0.559,15777
4,1:yes,2:no,+,0.764,103695
5,2:no,2:no,,0.552,19318
6,1:yes,2:no,+,0.569,1923870
7,1:yes,1:yes,,0.715,166202
8,1:yes,2:no,+,0.516,17337
9,1:yes,1:yes,,0.738,26316
10,1:yes,1:yes,,0.855,32587
11,1:yes,1:yes,,0.635,1270655
12,1:yes,1:yes,,0.748,273437
13,1:yes,1:yes,,0.693,160811
14,2:no,2:no,,0.853,38400
15,2:no,2:no,,0.684,5884515
16,2:no,2:no,,0.894,10327401
17,2:no,2:no,,0.955,5728405
18,2:no,2:no,,0.799,183610
19,2:no,1:yes,+,0.721,3397169
20,1:yes,1:yes,,0.809,44751865
21,2:no,2:no,,0.62,2089
22,2:no,2:no,,0.963,725441
23,2:no,2:no,,0.639,387623
24,1:yes,1:yes,,0.834,51885
25,1:yes,1:yes,,0.746,168540
26,2:no,1:yes,+,0.531,22163753
27,2:no,2:no,,0.713,964717
28,2:no,2:no,,0.714,7339773
29,1:yes,1:yes,,0.632,221749
30,1:yes,1:yes,,0.9,58397
31,2:no,2:no,,0.662,52233943
32,1:yes,1:yes,,0.606,23818735
33,2:no,2:no,,0.963,47099786
34,1:yes,1:yes,,0.946,5843419
35,2:no,1:yes,+,0.55,33135
36,1:yes,1:yes,,0.585,16756
37,2:no,1:yes,+,0.502,6765187
38,2:no,2:no,,0.86,1922844
39,1:yes,1:yes,,0.915,347105
40,2:no,2:no,,0.761,6734490
41,2:no,2:no,,0.818,40538740
42,2:no,2:no,,0.591,30058
43,2:no,2:no,,0.941,55032
44,2:no,2:no,,0.686,4897306
45,2:no,2:no,,0.865,409855
46,2:no,2:no,,0.853,25342885
47,2:no,2:no,,0.772,489133
48,1:yes,1:yes,,0.609,24020
49,1:yes,2:no,+,0.703,45214
50,1:yes,2:no,+,0.77,3205662
51,2:no,1:yes,+,0.911,15766
52,2:no,2:no,,0.901,3272427
53,2:no,2:no,,0.954,8587412
54,2:no,2:no,,0.728,124259
55,1:yes,1:yes,,0.77,2858505
56,1:yes,2:no,+,0.506,67918
57,2:no,1:yes,+,0.825,20556944
58,2:no,2:no,,0.637,467803
59,2:no,1:yes,+,0.655,99959
60,2:no,2:no,,0.57,195552
61,2:no,2:no,,0.72,3018837
