inst#,actual,predicted,error,prediction,pageid
1,1:yes,2:no,+,0.511,16905
2,2:no,2:no,,0.828,523884
3,1:yes,2:no,+,0.89,7518210
4,1:yes,1:yes,,0.935,32611
5,2:no,2:no,,0.644,730831
6,1:yes,1:yes,,0.814,31814
7,1:yes,2:no,+,0.689,52045701
8,2:no,1:yes,+,0.876,43373
9,2:no,2:no,,0.907,14449214
10,2:no,2:no,,0.949,23591331
11,2:no,2:no,,0.599,125176
12,2:no,2:no,,0.855,48806304
13,2:no,2:no,,0.596,30403
14,1:yes,1:yes,,0.618,52970
15,1:yes,1:yes,,0.776,13736167
16,1:yes,1:yes,,0.556,286527
17,1:yes,2:no,+,0.766,1558354
18,1:yes,1:yes,,0.802,773158
19,2:no,2:no,,0.819,1429763
20,2:no,2:no,,0.746,1495667
21,1:yes,1:yes,,0.81,9587
22,1:yes,1:yes,,0.974,765
23,2:no,1:yes,+,0.629,29656
24,2:no,2:no,,0.688,7776179
25,1:yes,1:yes,,0.818,16504
26,1:yes,1:yes,,0.606,23037
27,2:no,2:no,,0.652,654162
28,1:yes,2:no,+,0.691,501984
29,1:yes,1:yes,,0.912,46216
30,1:yes,2:no,+,0.564,2570425
31,1:yes,1:yes,,0.809,16881
32,2:no,2:no,,0.76,1305044
33,2:no,2:no,,0.932,48311285
34,1:yes,2:no,+,0.729,18486
35,2:no,2:no,,0.844,1457749
36,1:yes,2:no,+,0.529,442163
37,1:yes,1:yes,,0.887,736
38,2:no,1:yes,+,0.754,31737
39,1:yes,2:no,+,0.509,150136
40,1:yes,1:yes,,0.733,15641
41,2:no,2:no,,0.85,8358106
42,2:no,1:yes,+,0.599,23362908
43,2:no,1:yes,+,0.709,2804704
44,1:yes,1:yes,,0.738,684813
45,2:no,2:no,,0.845,30654
46,2:no,2:no,,0.945,173547
47,2:no,2:no,,0.541,29684300
48,1:yes,1:yes,,0.836,10671
49,2:no,2:no,,0.593,373047
50,2:no,2:no,,0.534,170029
51,2:no,2:no,,0.849,315833
52,2:no,2:no,,0.598,13514560
53,2:no,2:no,,0.787,1017349
54,1:yes,1:yes,,0.846,1095706
55,1:yes,2:no,+,0.632,7966
56,2:no,2:no,,0.879,26162979
57,2:no,2:no,,0.839,1251648
58,1:yes,1:yes,,0.868,30636
59,2:no,2:no,,0.578,93097
60,2:no,2:no,,0.535,19642082
61,1:yes,1:yes,,0.586,1631652
62,2:no,1:yes,+,0.746,76972
63,1:yes,1:yes,,0.593,11986472
64,1:yes,1:yes,,0.7,32191
65,2:no,2:no,,0.78,40480187
66,2:no,1:yes,+,0.824,391324
67,2:no,2:no,,0.579,43206
68,2:no,2:no,,0.979,29542497
69,2:no,2:no,,0.971,249509
70,2:no,1:yes,+,0.555,24102656
71,2:no,2:no,,0.843,929103
72,1:yes,1:yes,,0.87,74461
73,2:no,2:no,,0.87,10324687
74,2:no,2:no,,0.626,20587985
75,1:yes,1:yes,,0.7,864
76,1:yes,2:no,+,0.621,198570
77,2:no,1:yes,+,0.718,308856
78,1:yes,1:yes,,0.603,860924
79,1:yes,1:yes,,0.791,31535
80,2:no,2:no,,0.79,16013305
81,1:yes,1:yes,,0.906,5792809
82,1:yes,1:yes,,0.514,45218
83,1:yes,1:yes,,0.511,47896187
84,1:yes,1:yes,,0.84,1845
85,2:no,1:yes,+,0.884,14889
86,1:yes,1:yes,,0.575,6260914
87,2:no,2:no,,0.729,454583
88,2:no,2:no,,0.875,40629144
89,2:no,2:no,,0.889,7990664
90,1:yes,1:yes,,0.963,13425800
91,2:no,2:no,,0.598,1404329
92,2:no,1:yes,+,0.552,1070503
93,2:no,2:no,,0.557,67118
94,1:yes,2:no,+,0.512,8354382
95,1:yes,2:no,+,0.593,165404
96,1:yes,1:yes,,0.512,30667
97,2:no,1:yes,+,0.7,21825423
98,2:no,2:no,,0.601,414468
99,2:no,2:no,,0.718,17454
100,2:no,2:no,,0.855,3463805
101,2:no,2:no,,0.715,23589837
102,1:yes,1:yes,,0.559,28246
103,2:no,2:no,,0.904,3804776
104,2:no,2:no,,0.877,18758
105,1:yes,1:yes,,0.743,33278
106,2:no,2:no,,0.786,4283766
107,1:yes,1:yes,,0.858,5593
108,2:no,2:no,,0.91,148594
109,1:yes,2:no,+,0.544,50151
110,1:yes,2:no,+,0.616,1026559
111,2:no,2:no,,0.736,14187933
112,2:no,2:no,,0.976,7454967
113,2:no,2:no,,0.723,30597047
114,2:no,2:no,,0.676,2067
115,1:yes,1:yes,,0.762,37857
116,2:no,2:no,,0.554,184170
117,1:yes,2:no,+,0.744,16844797
118,1:yes,1:yes,,0.76,986814
119,2:no,2:no,,0.97,3170723
120,1:yes,1:yes,,0.586,71973
121,1:yes,1:yes,,0.626,52547
122,1:yes,1:yes,,0.787,5655
123,2:no,1:yes,+,0.531,4364873
124,2:no,2:no,,0.573,295217
125,1:yes,1:yes,,0.63,12905
126,2:no,2:no,,0.557,43449
127,1:yes,1:yes,,0.824,9988187
128,1:yes,1:yes,,0.941,55313
