@RELATION wiki_binned_better_wordcount
@ATTRIBUTE pageid Numeric
@ATTRIBUTE num_links_in Numeric
@ATTRIBUTE org_percentage Numeric
@ATTRIBUTE num_negative_words   Numeric
@ATTRIBUTE num_images   Numeric
@ATTRIBUTE edu_percentage   Numeric
@ATTRIBUTE other_percentage     Numeric
@ATTRIBUTE num_categories   Numeric
@ATTRIBUTE num_positive_words   Numeric
@ATTRIBUTE num_words    Numeric
@ATTRIBUTE net_percentage Numeric
@ATTRIBUTE num_controversial_words  Numeric
@ATTRIBUTE gov_percentage   Numeric
@ATTRIBUTE com_percentage   Numeric
@ATTRIBUTE num_links_out    Numeric
@ATTRIBUTE num_references   Numeric
@ATTRIBUTE isControversial  {yes,no}
@DATA
1103138,921, 0.04285714285714286,0.00129246381899124,20, 0, 0.6571428571428571,46,0.0046273395988575255,62671, 0,1.5956343444336295e-05, 0.0035714285714285713,0.29642857142857143,404,280,yes
23996,8125, 0.30434782608695654,0.0005882525956645784,6, 0.043478260869565216, 0.30434782608695654,17,0.007382570075590458,33999, 0.043478260869565216,2.941262978322892e-05, 0.043478260869565216,0.2608695652173913,452,23,yes
2095829,945, 0.06463878326996197,0.0013034861604352048,20, 0.06463878326996197, 0.015209125475285171,40,0.003737547051860128,75183, 0,9.310615431680034e-05, 0.08365019011406843,0.7718631178707225,516,263,yes
22468,2038, 0.11055276381909548,0.0010956050074537062,28, 0.020100502512562814, 0.18341708542713567,71,0.0035562260897677674,55677, 0.01507537688442211,3.592147565421987e-05, 0.05527638190954774,0.6155778894472361,582,398,yes
2505145,70, 0.2,0.00116993272886809,3, 0, 0.2,2,0.0062152676221117285,13676, 0,0.0, 0,0.6,83,5,no
36419010,19, 0.030821917808219176,0.001144942573974024,42, 0, 0.1506849315068493,13,0.004096747647500805,55898, 0.03424657534246575,1.7889727718344126e-05, 0,0.7842465753424658,602,292,no
186639,987, 0.2857142857142857,0.0008031053406505153,5, 0.047619047619047616, 0.047619047619047616,29,0.003948601258198367,14942, 0,6.69254450542096e-05, 0.023809523809523808,0.5952380952380952,135,42,yes
86364,1831, 0.29411764705882354,0.0005073051948051948,2, 0.058823529411764705, 0.29411764705882354,6,0.004667207792207792,9856, 0.058823529411764705,0.0, 0,0.29411764705882354,87,17,yes
426670,260, 0.38461538461538464,0.0005227118289686895,19, 0, 0.23076923076923078,21,0.0033453557053996132,19131, 0.07692307692307693,5.227118289686896e-05, 0,0.3076923076923077,271,13,no
24001332,62, 0.2,0.0,9, 0, 0,5,0.012844036697247707,545, 0,0.0, 0,0.8,73,5,no
23440,51567, 0.15037593984962405,0.00040839575698303006,125, 0.03609022556390978, 0.3007518796992481,74,0.0035251002181693122,93047, 0.09774436090225563,7.523079733897922e-05, 0.0406015037593985,0.3744360902255639,2148,665,yes
4852233,80, 0.25,0.0007290400972053463,2, 0, 0.125,10,0.009477521263669502,4115, 0,0.0, 0,0.625,48,8,no
5847204,1562, 0.06358381502890173,0.0011218003195431214,26, 0.005780346820809248, 0.02601156069364162,39,0.003858313220246796,58834, 0,0.0002039636944623857, 0.014450867052023121,0.8901734104046243,746,346,yes
3655443,80, 0.03571428571428571,0.0007710100231303007,8, 0, 0.9285714285714286,16,0.004112053456694937,7782, 0,0.0, 0,0.03571428571428571,118,28,no
1505381,297, 0.2975206611570248,0.0006431085838072029,12, 0.2727272727272727, 0.09917355371900827,9,0.003858651502843217,29544, 0.008264462809917356,0.00010154346060113728, 0.10743801652892562,0.21487603305785125,271,121,no
38466392,427, 0.03418803418803419,0.0006115709218412362,19, 0, 0.05128205128205128,21,0.005687609573123496,49054, 0.021367521367521368,2.0385697394707872e-05, 0,0.8931623931623932,316,234,yes
414468,445, 0.08695652173913043,0.0009305788200260562,8, 0, 0,34,0.00403250822011291,16119, 0.06521739130434782,6.203858800173708e-05, 0.10869565217391304,0.7391304347826086,494,46,no
92656,3329, 0.12231404958677686,0.0009123990791134876,112, 0.024793388429752067, 0.41652892561983473,45,0.00413762373086349,94257, 0.01652892561983471,5.304645808799346e-05, 0.013223140495867768,0.4066115702479339,961,606,yes
261925,2524, 0.34782608695652173,0.0004495796430337634,18, 0.043478260869565216, 0.34782608695652173,10,0.010025626039652924,22243, 0,4.495796430337634e-05, 0.17391304347826086,0.08695652173913043,536,46,yes
1643647,33, 0.3333333333333333,0.0008744786761738194,2, 0.07692307692307693, 0.1282051282051282,7,0.003968787838019642,14866, 0,0.0, 0,0.46153846153846156,143,39,yes
100385,473, 0.18181818181818182,0.0005074424898511502,2, 0.09090909090909091, 0.3181818181818182,30,0.005158998646820027,11824, 0,0.0, 0.045454545454545456,0.36363636363636365,265,22,no
13118744,1127, 0.1640625,0.0011218259875304727,32, 0.03125, 0.20052083333333334,29,0.004001898474748128,92706, 0.028645833333333332,0.0001941621901495049, 0.018229166666666668,0.5572916666666666,911,384,yes
56481,95, 0.38235294117647056,0.0037762469914515728,6, 0.022058823529411766, 0.014705882352941176,14,0.003817744211137854,24098, 0,0.0, 0.4411764705882353,0.13970588235294118,246,136,yes
493657,804, 0.10714285714285714,0.0006144078644206646,4, 0.07142857142857142, 0.07142857142857142,26,0.005273667502944038,19531, 0,5.120065536838871e-05, 0,0.75,345,28,yes
16367528,170, 0,0.0009196811771919068,7, 0.058823529411764705, 0.5882352941176471,5,0.004291845493562232,6524, 0,0.0, 0,0.35294117647058826,184,17,yes
193684,277, 0.9473684210526315,0.0005432351249440787,17, 0, 0,10,0.00396242091135681,31294, 0,0.0, 0,0.05263157894736842,277,19,no
34702110,567, 0,0.0008712319219376198,13, 0, 0.04,33,0.004704652378463147,17217, 0,0.0, 0,0.96,130,25,no
9543863,53, 0.45454545454545453,0.001360352753541608,5, 0, 0,8,0.005089595646871188,42636, 0,2.3454357819682896e-05, 0.18181818181818182,0.36363636363636365,122,11,no
24133117,150, 0.31451612903225806,0.0017319477751132426,5, 0, 0.0967741935483871,8,0.0036859401367794653,22518, 0,4.4408917310595964e-05, 0.4435483870967742,0.14516129032258066,217,124,yes
23819805,462, 0.08928571428571429,0.0009176788124156545,7, 0, 0.125,49,0.004804318488529015,18525, 0,0.0, 0.017857142857142856,0.7678571428571429,328,56,yes
25389526,292, 0.022727272727272728,0.0005659309564233164,4, 0, 0.3181818181818182,9,0.004301075268817204,8835, 0.06818181818181818,0.0, 0,0.5909090909090909,346,44,no
4751135,838, 0.175,0.0011350972055970611,17, 0.03333333333333333, 0.45,29,0.0038593304990300076,48454, 0.008333333333333333,0.0, 0,0.3333333333333333,833,120,yes
19904525,3109, 0.327217125382263,0.0017026595973964394,15, 0.0581039755351682, 0.18960244648318042,21,0.0042889779731885,46398, 0,0.0, 0.045871559633027525,0.37920489296636084,511,327,yes
